7483|04/07942-2|Produção científica|A natural combinatorial chemistry strategy in acylppolyamines toxins|[Inglês] The present study shows how nature combined a small number of chemical building blocks to synthesize the acylpolyamine toxins in the venoms of Nephilinae orb-web spiders. Considering these structures in four parts, it was possible to rationalize |Toxin Reviews|24|2|209-234|2005|2005||Inglês|Artigo Científico|[Inglês - Capes] <a href='http://informahealthcare.com/doi/abs/10.1081/TXR-200057857' target='_blank'>http://informahealthcare.com/doi/abs/10.1081/TXR-200057857</a>||||PALMA, MÁRIO SÉRGIO; NAKAJIMA, TERUMI||Ciências exatas e da terra|Química||Química orgânica - Cromatografia - Poliaminas - Venenos de origem animal - Artrópodes - Araneae - Aranhas - Programa BIOTA-FAPESP - Projetos Regulares||||SciELO|
||Produção científica|Kirkia heterobranchiata, a new genus and species of extratubular brooding sabellid (Polychaeta: Sabellidae) from São Paulo, Brazil|[Inglês] A new genus and species of sabellid polychaete from an organically enriched beach in São Sebastião, State of São Paulo, is described. Kirkia heterobranchiata is unique among sabellids for brooding the embryos on the dorsalmost pair of radioles, w|Journal of the Marine Biological Association of the United Kingdom|84|4|701-710|2004|Aug. 2004||Inglês|Artigo Científico|[Inglês - Capes] <a href='http://journals.cambridge.org/action/displayFulltext?type=1&pdftype=1&fid=241566&jid=MBI&volumeId=84&issueId=04&aid=241565' target='_blank'>http://journals.cambridge.org/action/displayFulltext?type=1&pdftype=1&fid=241566&jid=MBI&||||NOGUEIRA, JOÃO M DE M; LÓPEZ, EDUARDO; ROSSI, MAÍRA CS||Ciências biológicas|Zoologia||Taxonomia dos grupos recentes - Poliquetos - Sabellidae - Kirkia heterobranchiata - São Paulo - Brazil - BIOTA/FAPESP - Programa BIOTA-FAPESP - Bolsas no Brasil - Iniciação Científica - Projetos Temáticos||||SciELO|
248||Produção científica|Successional changes in cerrado and cerrado/forest ecotonal vegetation in western São Paulo state, Brazil, 1962-2000|[Inglês] Surveys over a period of 38 years have shown a rapid successional change in the remaining areas of cerrado vegetation in western São Paulo State. Cerradão (the dense, tall, forest form of cerrado (sensu lato)) and cerrado/Atlantic forest ecotonal|Edinburgh Journal of Botany|63|1|119-130|2006|2006||Inglês|Artigo Científico|[Inglês - Capes] <a href='http://journals.cambridge.org/action/displayFulltext?type=1&pdftype=1&fid=461209&jid=EJB&volumeId=63&issueId=01&aid=461208' target='_blank'>http://journals.cambridge.org/action/displayFulltext?type=1&pdftype=1&fid=461209&jid=EJB&||||DURIGAN, G; RATTER, J A||Ciências biológicas|Ecologia||Ecologia aplicada - Dinâmica de comunidades - Mata Atlântica - Cerrado - Savana - São Paulo - Brasil - Programa BIOTA-FAPESP - Projetos Temáticos|Publicado|10/6/11 18:47|21/6/11 19:51|analuiza|ines
5081|01/13341-3|Produção científica|Chromosomal analysis of the leptodactylids Pleurodema diplolistris and Physalaemus nattereri (Amphibia, Anura)|[Inglês] Detailed characterizations of the karyotypes of the Brazilian leptodactylid frogs Pleurodema diplolistris, the only species of Pleurodema not studied cytogenetically so far, and Physalaemus nattereri, a species in the Ph. biligonigerus group, are|Amphibia-Reptilia|27|4|481-489|2006|2006||Inglês|Artigo Científico|[Inglês - Capes] <a href='http://link.periodicos.capes.gov.br/sfxlcl3?url_ver=Z39.88-2004&url_ctx_fmt=infofi/fmt:kev:mtx:ctx&ctx_enc=info:ofi/enc:UTF-8&ctx_ver=Z39.88-2004&rfr_id=info:sid/sfxit.com:azlist&sfx.ignore_date_threshold=1&rft.object_id=95492526||||LOURENÇO, LUCIANA B; NASCIMENTO, JOSIANE AA; ANDRADE, GILDA V; ROSSA-FERES, DENISE C; RECCO-PIMENTEL, SHIRLEI M||Ciências biológicas|Zoologia||Citogenética - Anfíbios - Anuros - Heterocromatina - Leptodactylidae - Physalaemus - Programa BIOTA-FAPESP - Projetos Temáticos|Publicado|19/8/10 15:30||Administrador|
108||Produção científica|The tadpole of Scinax catharinae (Anura: Hylidae) with description of the internal oral morphology, and a review of the tadpoles from the Scinax catharinae group|[Inglês] We present a description of the external morphology and internal oral features of the tadpole of Scinax catharinae and comparisons with the known tadpoles of the S. catharinae group. Two characters of the external morphology present some intraspe|Amphibia-Reptilia|28|2|177-192|2007|2007||Inglês|Artigo Científico|[Inglês - Capes] <a href='http://link.periodicos.capes.gov.br/sfxlcl3?url_ver=Z39.88-2004&url_ctx_fmt=infofi/fmt:kev:mtx:ctx&ctx_enc=info:ofi/enc:UTF-8&ctx_ver=Z39.88-2004&rfr_id=info:sid/sfxit.com:azlist&sfx.ignore_date_threshold=1&rft.object_id=95492526||||CONTE, CARLOS E; NOMURA, FAUSTO; ROSSA-FERES, DENISE DE C; D?HEURSEL, ANNE; HADDAD, CÉLIO FB||Ciências biológicas|Zoologia||Morfologia dos grupos recentes - Amphibia - Anura - Hylidae - Scinax catharinae - Programa BIOTA-FAPESP - Projetos Temáticos|Publicado|19/8/10 15:29||Administrador|
||Produção científica|Lipoperoxidation and cyclooxygenases 1 and 2 inhibitory compounds from Iryanthera juruensis|[Inglês] Plants from Iryanthera genus have been traditionally used as food supplements by South American Indians. The MeOH extract of leaves of Iryanthera juruensis, one of the plants endemic to the Amazon region and consumed in Brazil, and the hexane ext|Journal of Agricultural and Food Chemistry|55|7|2569-2574|2007|Apr. 2007||Inglês|Artigo Científico|[Inglês - Capes] <a href='http://link.periodicos.capes.gov.br/sfxlcl3?url_ver=Z39.88-2004&url_ctx_fmt=infofi/fmt:kev:mtx:ctx&ctx_enc=info:ofi/enc:UTF-8&ctx_ver=Z39.88-2004&rfr_id=info:sid/sfxit.com:azlist&sfx.ignore_date_threshold=1&rft.object_id=95492541||||SILVA, DULCE H S; ZHANG, YANJUN; SANTOS, LUCIANA A; BOLZANI, VANDERLAN S||Ciências exatas e da terra|Química||Química orgânica - Myristicaceae - Peroxidação de lipídeos - Ciclooxigenase 1 - Ciclooxigenase 2 - Flavonas - Lignanas - Programa BIOTA-FAPESP - Projetos Temáticos - Bolsas no Brasil - Pós-Doutorado|Publicado|19/8/10 15:30||Administrador|
7964|98/05074-0|Produção científica|The absolute configuration of 1-(3?, 4?-Dihydroxycinnamoyl) cyclopentane-2, 3-diol from the amazonian tree Chimarrhis turbinata|[Inglês] An antioxidant, 1-(3?, 4?-dihydroxycinnamoyl) cyclopentane-2, 3-diol [or (E)-2, 3-dihydroxycyclopentyl-3-(3?, 4?-dihydroxyphenyl) acrylate (1)], and two known trans- and cis-chlorogenic acid methyl esters were isolated from the ethanolic extract |Journal of Natural Products|69|7|1046-1050|2006|July. 2006||Inglês|Artigo Científico|[Inglês - Capes] <a href='http://link.periodicos.capes.gov.br/sfxlcl3?url_ver=Z39.88-2004&url_ctx_fmt=infofi/fmt:kev:mtx:ctx&ctx_enc=info:ofi/enc:UTF-8&ctx_ver=Z39.88-2004&rfr_id=info:sid/sfxit.com:azlist&sfx.ignore_date_threshold=1&rft.object_id=95492547||||CARDOSO, CARMEN LUCIA; BOLZANI, VANDERLAN DA SILVA; SILVA, DULCE HELENA SIQUEIRA; ISHII, HIDEKI; BEROVA, NINA; NAKANISHI, KOJI||Ciências exatas e da terra|Química||Antioxidantes - Folhas (plantas) - Rubiaceae - Chimarrhis turbinata - Árvores florestais - Amazônia - Programa BIOTA-FAPESP - Projetos Temáticos|Publicado|19/8/10 15:28||Administrador|
8025|98/05074-0|Produção científica|Lipoperoxidation and cyclooxygenase enzyme inhibitory piperidine alkaloids from Cassia spectabilis green fruits|[Inglês] Phytochemical work in the search for bioactive metabolites from the methanolic extract of Senna spectabilis green fruits led to the isolation of a new piperidine alkaloid, (+)-3-O-feruloylcassine (1), in addition to the known (-)-spectaline (2) a|Journal of Natural Products|70|12|2026-2028|2007|2007||Inglês|Artigo Científico|[Inglês - Capes] <a href='http://link.periodicos.capes.gov.br/sfxlcl3?url_ver=Z39.88-2004&url_ctx_fmt=infofi/fmt:kev:mtx:ctx&ctx_enc=info:ofi/enc:UTF-8&ctx_ver=Z39.88-2004&rfr_id=info:sid/sfxit.com:azlist&sfx.ignore_date_threshold=1&rft.object_id=95492547||||VIEGAS JUNIOR, CLÁUDIO; SILVA, DULCE H S; PIVATTO, MARCOS||Ciências exatas e da terra|Química|O artigo da revista consta como produto de seis Processos: 97/10678-0 e 04/07932-7 em nome de Dulce Helena Siqueira Silva, 98/05074-0 e 03/02176-7 em nome de Vanderlan da Silva Bolzani,  06/54948-1 em nome de Marcos Pivatto e 01/14949-5 em nome de Amanda |Química orgânica - Peroxidação de lipídeos - Ciclooxigenase 1 - Ciclooxigenase 2 - Piperidinas - Cassia - Alcalóides - Programa BIOTA-FAPESP - Projetos Temáticos - Bolsas no Brasil - Pós-Doutorado - Bolsas no Brasil - Iniciação Científica - Bolsas no Bras|Publicado|19/8/10 15:32||Administrador|
7637|92/01597-2, 98/05090-6, 98/11185-0|Produção científica|Corytibacladius Oliveira, Messias & Santos, 1995, a junior synonym of Limnophyes Eaton, 1875 (Diptera: Chironomidae: Orthocladiinae)|[Inglês] The monotypic genus Corytibacladius Oliveira, Messias & Santos, 1995 is placed as a junior synonym of Limnophyes Eaton, 1875. The male of L. gercinoi (Oliveira, Messias & Santos, 1995) comb. n. is redescribed and figured and the female is describ|Aquatic Insects|29|4|255-261|2007|Dec. 2007||Inglês|Artigo Científico|[Inglês - Capes] <a href='http://link.periodicos.capes.gov.br/sfxlcl3?url_ver=Z39.88-2004&url_ctx_fmt=infofi/fmt:kev:mtx:ctx&ctx_enc=info:ofi/enc:UTF-8&ctx_ver=Z39.88-2004&rfr_id=info:sid/sfxit.com:azlist&sfx.ignore_date_threshold=1&rft.object_id=95492548||||MENDES, HUMBERTO F; ANDERSEN, TROND; PINHO, LUIZ C||Ciências biológicas|Zoologia||Taxonomia dos grupos recentes - Chironomidae - Orthocladiinae - Limnophyes - BIOTA/FAPESP - Programa BIOTA-FAPESP - Projetos Temáticos - Bolsas no Brasil - Mestrado|Publicado|19/8/10 15:27||Administrador|
7834|99/05446-8|Produção científica|Ticks (Ixodidae) on humans in South America|[Inglês] Twenty eight species of Ixodidae have been found on man in South America (21 Amblyomma, 1 Boophilus, 2 Dermacentor, 2 Haemaphysalis, 1 Ixodes and 1 Rhipicephalus species). Most of them are rarely found on man. However, three species frequently pa|Experimental and Applied Acarology|40|2|83-100|2006|Oct. 2006||Inglês|Artigo Científico|[Inglês - Capes] <a href='http://link.periodicos.capes.gov.br/sfxlcl3?url_ver=Z39.88-2004&url_ctx_fmt=infofi/fmt:kev:mtx:ctx&ctx_enc=info:ofi/enc:UTF-8&ctx_ver=Z39.88-2004&rfr_id=info:sid/sfxit.com:azlist&sfx.ignore_date_threshold=1&rft.object_id=95492548||||GUGLIELMONE, AA; BEATI, L; BARROS-BATTESTI, DM; LABRUNA, MB; NAVA, N; VENZAL, JM; MANGOLD, AJ; SZABÓ, MPJ; MARTINS, JR; ET AL||Ciências biológicas|Zoologia||Taxonomia dos grupos recentes - Ixodidae - Carrapatos - Programa BIOTA-FAPESP - Projetos Temáticos|Publicado|19/8/10 15:18||Administrador|
